policy,gpu_count,ssd_count,inference_count,request_count,mean_ttft_us,p50_ttft_us,p95_ttft_us,max_ttft_us,mean_ssd_stall_us,mean_ssd_bandwidth_gb_s,cir_dispatched_requests,excess_dispatched_requests,peak_waiting_demands_per_ssd,rate_control_write_count,event_count,wall_time_s
baseline,64,1,64,52819,704175.0246910256,664902.5641025641,1455528.2051282052,1880184.6153846153,3921.178537179487,39.98708301466455,0,52819,0,0,8667525,83.45800595500623
demand_aware_fifo,64,1,64,52819,723958.6854089742,664953.9568,1455586.584,2431026.584,23704.839255128194,3.2038871258061343,52819,0,0,128,16394795,513.6845624299895
baseline,64,2,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.97417431705796,0,52819,0,0,8670172,86.72782883502077
demand_aware_fifo,64,2,64,52819,769596.6130076922,688870.2704,1686466.584,2423426.584,69342.76685384613,1.8162471940446852,52819,0,0,256,18602256,644.5473353899724
baseline,64,3,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.96127198580451,0,52819,0,0,8672819,87.07777509398875
demand_aware_fifo,64,3,64,52819,806753.192330769,747266.584,1657106.584,2426786.584,106499.34617692306,1.2677328433876525,52819,0,0,384,19701518,708.9665986369946
baseline,64,4,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.948381417438156,0,52819,0,0,8675466,86.68882070697146
demand_aware_fifo,64,4,64,52819,834817.4625282047,749026.584,1723266.584,2404946.584,134563.61637435894,0.972517934371124,52819,0,0,512,20364639,751.3907032439893
baseline,64,5,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.935491273123695,0,52819,0,0,8678114,88.7507676690002
demand_aware_fifo,64,5,64,52819,863184.9145442303,789292.3076923076,1880184.6153846153,2458386.584,162931.06839038464,0.7819850378321225,52819,0,0,640,20831088,758.6964763789729
baseline,64,6,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.92261502401278,0,52819,0,0,8680761,88.98925641999813
demand_aware_fifo,64,6,64,52819,870426.0190217945,789426.584,1903266.584,2441746.584,170172.1728679487,0.6473875504167648,52819,0,0,768,21183388,779.183954098
baseline,64,7,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.9097530953144,0,52819,0,0,8683407,89.90090629900806
demand_aware_fifo,64,7,64,52819,888562.9876166662,806306.584,1935026.584,2443826.584,188309.14146282052,0.5575092889813508,52819,0,0,896,21457820,808.5221547059773
baseline,64,8,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.896881941955144,0,52819,0,0,8686054,90.75426638900535
demand_aware_fifo,64,8,64,52819,901609.3298512816,806306.584,1921346.584,2423746.584,201355.4836974359,0.4927417216160579,52819,0,0,1024,21688703,827.1373833969992
baseline,64,9,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.88402801493063,0,52819,0,0,8688703,94.65246937499614
demand_aware_fifo,64,9,64,52819,901529.1735141019,799186.584,1902146.584,2425666.584,201275.32736025643,0.4486020383105648,52819,0,0,1152,21864926,835.5848162879993
baseline,64,10,64,52819,700253.8461538462,664902.5641025641,1455528.2051282052,1880184.6153846153,0.0,39.87116472544344,0,52819,0,0,8691348,93.9790827689867
demand_aware_fifo,64,10,64,52819,909347.7416282046,831266.584,1901186.584,2470946.584,209093.895474359,0.4042637899340919,52819,0,0,1280,22043252,834.0199446909828
