ssd_count,baseline_mean_gpu_utilization_percent,legacy_fcfs_cir_mean_gpu_utilization_percent,utility_edf_integer_l750_mean_gpu_utilization_percent
1,21.24281367996627,18.36647266823158,46.52339177688295
2,39.009348609972164,33.59569757679794,60.661885257592836
3,51.25813315353398,45.895049003382894,68.78058448514595
4,59.63532746116665,55.48619807924294,73.96425731626987
5,65.10560888788942,62.23806527610718,77.99904947837628
6,69.08870342505209,67.08573798030254,80.24364732733287
7,72.24101570402232,70.6358075863438,83.07138250572373
8,74.75573712970174,73.41597998630051,84.5828581818932
9,76.85841627279252,75.93694840051901,85.98037928200455
10,78.56013152582986,78.27771877437131,86.90698843343036
